alpha=0.02
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.00027704343665391207, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.00020844368555117399, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.0006029855576343834, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.0005268848035484552, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.00036815411294810474, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.000918144709430635, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.0339285209774971, avg_cost=1703.493896484375
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.037698324769735336, avg_cost=1813.35498046875
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.0011164341121912003, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.0012726432178169489, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Legality_London_England: avg_runtime=0.05725900083780289, avg_cost=2245.169921875
M3_Public_Func_Inter_Inter_Optimality_London_England: avg_runtime=0.05719109997153282, avg_cost=2245.169921875
M3_Public_Perf_Inter_Inter_Medium_Toronto: avg_runtime=0.040984898805618286, avg_cost=1737.364990234375
M3_Public_Perf_Inter_Inter_Hard_Toronto: avg_runtime=0.04169850051403046, avg_cost=1689.6666259765625
M3_Public_Perf_Inter_Inter_Very_Hard_Toronto: avg_runtime=0.036146800965070724, avg_cost=1689.6666259765625
M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.09935472160577774, avg_cost=3001.929931640625
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.09645940363407135, avg_cost=3182.530029296875
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.09997270256280899, avg_cost=3182.530029296875

alpha=0.02
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.0002864321577362716, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.00019646863802336156, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.0005184830515645444, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.0004932954907417297, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.0003750291944015771, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.00033256044844165444, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.036066245287656784, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.03880070149898529, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.00043730673496611416, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.0004905461682938039, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Legality_London_England: avg_runtime=0.0768500342965126, avg_cost=3043.386474609375
M3_Public_Func_Inter_Inter_Optimality_London_England: avg_runtime=0.07638124376535416, avg_cost=3043.386474609375
M3_Public_Perf_Inter_Inter_Medium_Toronto: avg_runtime=0.038441188633441925, avg_cost=1695.67138671875
M3_Public_Perf_Inter_Inter_Hard_Toronto: avg_runtime=0.03766703978180885, avg_cost=1694.2855224609375
M3_Public_Perf_Inter_Inter_Very_Hard_Toronto: avg_runtime=0.03792339935898781, avg_cost=1694.2855224609375
